label,score
regular,0.916653
regular,0.907583
regular,0.888714
regular,0.885635
regular,0.884842
regular,0.883471
regular,0.878125
regular,0.875884
regular,0.82095
regular,0.927049
regular,0.919674
regular,0.910372
regular,0.903112
regular,0.902469
regular,0.892539
regular,0.890034
regular,0.880103
regular,0.858735
regular,0.719862
regular,0.688484
regular,0.919669
regular,0.917765
regular,0.913927
regular,0.912688
regular,0.90348
regular,0.901366
regular,0.89871
regular,0.897686
regular,0.814925
regular,0.915505
regular,0.91198
regular,0.909763
regular,0.909754
regular,0.903664
regular,0.900625
regular,0.900127
regular,0.86774
regular,0.782406
regular,0.926288
regular,0.909322
regular,0.909245
regular,0.901574
regular,0.898908
regular,0.895603
regular,0.889792
regular,0.889306
regular,0.887303
regular,0.438675
regular,0.9147
regular,0.911599
regular,0.907807
regular,0.898004
regular,0.89591
regular,0.895037
regular,0.892019
regular,0.886285
regular,0.876353
regular,0.858951
regular,0.918035
regular,0.916004
regular,0.907487
regular,0.905456
regular,0.904279
regular,0.898861
regular,0.890488
regular,0.88992
regular,0.888564
regular,0.869016
regular,0.311612
regular,0.910838
regular,0.909937
regular,0.907305
regular,0.90466
regular,0.90171
regular,0.89967
regular,0.891348
regular,0.886142
regular,0.858669
regular,0.857729
regular,0.831061
regular,0.706708
regular,0.923449
regular,0.914453
regular,0.913688
regular,0.909108
regular,0.908161
regular,0.907868
regular,0.905826
regular,0.904886
regular,0.892246
regular,0.846831
regular,0.364089
regular,0.932863
regular,0.925723
regular,0.920824
regular,0.911378
regular,0.907068
regular,0.903163
regular,0.898344
regular,0.887433
regular,0.859185
regular,0.839583
regular,0.920447
regular,0.911863
regular,0.909608
regular,0.908547
regular,0.906059
regular,0.894559
regular,0.884426
regular,0.878728
regular,0.858733
regular,0.927604
regular,0.926636
regular,0.909351
regular,0.906844
regular,0.898418
regular,0.89779
regular,0.880777
regular,0.875732
regular,0.873537
regular,0.915438
regular,0.913874
regular,0.913159
regular,0.905047
regular,0.898278
regular,0.887746
regular,0.879729
regular,0.868027
regular,0.84165
regular,0.920277
regular,0.915502
regular,0.911398
regular,0.907192
regular,0.905994
regular,0.897779
regular,0.893137
regular,0.875721
regular,0.873126
regular,0.846361
regular,0.81703
regular,0.920127
regular,0.91598
regular,0.911954
regular,0.907411
regular,0.907332
regular,0.897776
regular,0.891423
regular,0.870225
regular,0.868119
regular,0.91378
regular,0.906909
regular,0.90662
regular,0.903947
regular,0.899945
regular,0.89954
regular,0.881425
regular,0.874334
regular,0.712637
regular,0.910817
regular,0.909626
regular,0.902617
regular,0.895399
regular,0.887157
regular,0.879716
regular,0.87812
regular,0.875678
regular,0.867801
regular,0.854642
regular,0.836632
regular,0.91166
regular,0.902098
regular,0.890834
regular,0.890827
regular,0.890521
regular,0.886241
regular,0.883407
regular,0.8785
regular,0.65821
regular,0.921102
regular,0.917741
regular,0.910481
regular,0.903444
regular,0.900562
regular,0.891564
regular,0.887736
regular,0.880619
regular,0.875458
regular,0.448499
regular,0.919213
regular,0.909187
regular,0.904283
regular,0.90104
regular,0.895651
regular,0.889947
regular,0.889552
regular,0.850417
regular,0.847839
regular,0.93525
regular,0.911849
regular,0.909075
regular,0.907634
regular,0.905898
regular,0.895843
regular,0.891014
regular,0.887279
regular,0.862322
regular,0.912513
regular,0.910551
regular,0.908664
regular,0.9018
regular,0.893759
regular,0.889744
regular,0.8708
regular,0.865162
regular,0.847817
regular,0.926134
regular,0.917771
regular,0.915225
regular,0.912812
regular,0.91096
regular,0.90685
regular,0.902239
regular,0.887396
regular,0.866933
regular,0.918081
regular,0.913487
regular,0.911107
regular,0.908738
regular,0.907317
regular,0.9069
regular,0.888711
regular,0.885652
regular,0.839308
regular,0.913085
regular,0.910432
regular,0.902427
regular,0.901103
regular,0.899843
regular,0.894733
regular,0.890159
regular,0.887459
regular,0.884962
regular,0.852968
regular,0.820337
regular,0.338054
regular,0.911858
regular,0.910312
regular,0.907605
regular,0.905993
regular,0.903593
regular,0.903304
regular,0.896282
regular,0.890056
regular,0.884101
regular,0.538345
regular,0.925171
regular,0.92071
regular,0.916714
regular,0.910344
regular,0.909012
regular,0.896487
regular,0.890035
regular,0.889209
regular,0.856906
regular,0.481105
regular,0.927037
regular,0.915349
regular,0.914262
regular,0.912585
regular,0.911055
regular,0.894618
regular,0.887943
regular,0.879244
regular,0.856205
regular,0.840803
regular,0.698516
regular,0.914174
regular,0.909709
regular,0.907462
regular,0.906448
regular,0.901042
regular,0.896324
regular,0.88543
regular,0.881939
regular,0.832726
regular,0.916322
regular,0.913105
regular,0.91299
regular,0.90999
regular,0.90703
regular,0.903918
regular,0.902496
regular,0.899122
regular,0.865869
regular,0.858705
regular,0.856416
regular,0.856087
regular,0.916031
regular,0.911716
regular,0.908773
regular,0.907685
regular,0.905244
regular,0.903154
regular,0.891458
regular,0.875726
regular,0.793287
regular,0.776095
regular,0.420511
regular,0.916157
regular,0.908351
regular,0.902316
regular,0.898282
regular,0.896399
regular,0.894997
regular,0.894637
regular,0.88656
regular,0.878082
regular,0.862814
regular,0.719751
