                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5298,                 1.9335,                 1.4505,                0.70714,                0.76565,                 0.7734,                0.53125,                 1.1155,                 1.9792,                 1.3144,             0.00036674,             0.00036674,             0.00036674
                      2,                 1.1214,                0.95182,                 1.1798,                0.67891,                0.77207,                0.73076,                0.48964,                 1.1798,                 1.3656,                 1.3167,              0.0007452,              0.0007452,              0.0007452
                      3,                 1.1097,                0.81065,                 1.1576,                0.71599,                0.81964,                0.80186,                0.52937,                 1.1849,                0.94076,                 1.3473,              0.0011186,              0.0011186,              0.0011186
                      4,                  1.109,                0.82675,                 1.1578,                0.39722,                0.52914,                0.36953,                0.22787,                 1.5062,                 2.0902,                 1.5239,              0.0014869,              0.0014869,              0.0014869
                      5,                 1.1155,                0.81995,                 1.1769,                 0.6216,                0.58568,                0.53997,                0.34022,                 1.2794,                 1.6045,                 1.4346,               0.001623,               0.001623,               0.001623
                      6,                 1.0958,                0.81036,                  1.157,                0.73097,                0.79676,                0.83108,                0.56597,                 1.1358,                0.98442,                  1.291,               0.001612,               0.001612,               0.001612
                      7,                 1.0599,                0.78251,                 1.1404,                0.83481,                0.86909,                0.90196,                0.63813,                 1.0501,                0.77265,                 1.2414,               0.001601,               0.001601,               0.001601
                      8,                  1.052,                0.75596,                 1.1246,                0.74271,                0.82722,                0.86491,                0.62421,                 1.0055,                0.88932,                 1.2047,                0.00159,                0.00159,                0.00159
                      9,                 1.0358,                0.73562,                 1.1177,                0.85559,                0.86884,                0.91852,                 0.6764,                0.98297,                0.64293,                 1.1759,               0.001579,               0.001579,               0.001579
                     10,                 1.0436,                0.73116,                 1.1248,                0.85525,                0.86274,                0.93115,                0.68548,                 0.9807,                0.67233,                 1.1721,               0.001568,               0.001568,               0.001568
                     11,                 1.0414,                0.71453,                 1.1234,                 0.8615,                 0.8653,                0.92402,                0.66402,                 1.0047,                0.68009,                 1.1999,               0.001557,               0.001557,               0.001557
                     12,                 1.0308,                 0.6934,                 1.1196,                0.86009,                0.86035,                0.91972,                0.68413,                0.95748,                0.63022,                 1.1514,               0.001546,               0.001546,               0.001546
                     13,                 1.0445,                0.69619,                 1.1303,                0.87148,                0.87563,                0.93191,                0.68356,                0.98863,                0.59851,                 1.1758,               0.001535,               0.001535,               0.001535
                     14,                 1.0314,                0.68431,                 1.1246,                0.86104,                0.88734,                 0.9339,                0.69052,                0.95697,                0.61514,                 1.1674,               0.001524,               0.001524,               0.001524
                     15,                 1.0191,                0.68415,                 1.1123,                0.87649,                0.88438,                0.93936,                0.69732,                0.97565,                0.58754,                 1.1451,               0.001513,               0.001513,               0.001513
                     16,                 1.0044,                0.67635,                 1.1072,                0.86547,                0.85868,                0.91998,                0.68935,                0.93931,                0.61223,                 1.1409,               0.001502,               0.001502,               0.001502
                     17,                 1.0031,                 0.6687,                 1.1055,                0.87754,                0.88489,                0.93893,                0.70335,                0.94423,                0.58492,                 1.1384,               0.001491,               0.001491,               0.001491
                     18,                 1.0113,                0.67681,                 1.1122,                0.82801,                  0.879,                0.90263,                0.68416,                0.93372,                 0.6314,                 1.1322,                0.00148,                0.00148,                0.00148
                     19,                0.99949,                0.64799,                 1.0965,                0.84897,                0.89691,                0.93787,                  0.709,                0.91299,                0.62306,                 1.1286,               0.001469,               0.001469,               0.001469
                     20,                0.99373,                0.66267,                 1.1003,                0.87224,                0.91071,                0.95046,                0.71471,                0.92174,                 0.5486,                 1.1317,               0.001458,               0.001458,               0.001458
                     21,                 1.0003,                0.66357,                 1.0942,                0.88485,                0.90831,                0.94987,                0.71719,                0.93368,                 0.5291,                 1.1352,               0.001447,               0.001447,               0.001447
                     22,                 1.0104,                0.63365,                 1.1158,                0.88077,                0.91631,                0.95676,                0.72175,                0.94505,                0.51178,                 1.1305,               0.001436,               0.001436,               0.001436
                     23,                0.97752,                0.61697,                 1.0813,                0.89685,                0.93024,                0.95929,                0.73174,                0.91531,                0.49979,                 1.1218,               0.001425,               0.001425,               0.001425
                     24,                0.96453,                0.60454,                 1.0886,                0.86701,                0.90723,                0.94906,                0.71096,                0.93285,                0.54312,                 1.1349,              0.0014139,              0.0014139,              0.0014139
                     25,                0.98803,                0.62698,                 1.1072,                0.87129,                0.91334,                 0.9535,                0.72257,                0.92268,                0.54272,                 1.1288,              0.0014029,              0.0014029,              0.0014029
                     26,                0.97271,                0.63771,                 1.0903,                0.88499,                0.89047,                0.95019,                0.71653,                0.91451,                0.52926,                 1.1245,              0.0013919,              0.0013919,              0.0013919
                     27,                0.96492,                0.61198,                 1.0867,                0.87867,                 0.9111,                0.95001,                0.71509,                0.93971,                0.53625,                  1.138,              0.0013809,              0.0013809,              0.0013809
                     28,                0.96382,                 0.6078,                 1.0808,                0.89569,                0.92225,                0.95817,                 0.7207,                0.94252,                0.52668,                 1.1483,              0.0013699,              0.0013699,              0.0013699
                     29,                0.97908,                0.61524,                 1.0852,                0.87502,                0.90221,                0.94948,                0.71241,                0.94486,                 0.5277,                 1.1359,              0.0013589,              0.0013589,              0.0013589
                     30,                0.97283,                0.61554,                 1.0929,                0.87353,                 0.8859,                 0.9465,                0.72173,                0.91071,                0.54815,                  1.115,              0.0013479,              0.0013479,              0.0013479
                     31,                0.97758,                0.61425,                 1.0959,                0.89681,                0.91419,                0.95854,                 0.7262,                 0.9202,                0.50887,                 1.1304,              0.0013369,              0.0013369,              0.0013369
                     32,                0.95409,                0.60506,                 1.0764,                0.87216,                0.90681,                0.95208,                0.72746,                0.90977,                0.53294,                  1.118,              0.0013259,              0.0013259,              0.0013259
                     33,                0.94998,                0.57399,                 1.0692,                0.89851,                0.90912,                0.95758,                0.73496,                0.90719,                0.50072,                 1.1154,              0.0013149,              0.0013149,              0.0013149
